CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,TIPO,LATITUD,LONGITUD
25,CUNDINAMARCA,COGUA,25200,Municipio,5.103127532,-73.97536559
25,CUNDINAMARCA,COTA,25214,Municipio,4.76754674,-74.1415583
25,CUNDINAMARCA,CUCUNUBÁ,25224,Municipio,5.230308105,-73.78001885
25,CUNDINAMARCA,EL COLEGIO,25245,Municipio,4.556947085,-74.42658478
25,CUNDINAMARCA,EL PEÑÓN,25258,Municipio,5.261728244,-74.30830564
25,CUNDINAMARCA,EL ROSAL,25260,Municipio,4.879723016,-74.23802273
25,CUNDINAMARCA,FACATATIVÁ,25269,Municipio,4.834052334,-74.3380229
25,CUNDINAMARCA,FÓMEQUE,25279,Municipio,4.528568462,-73.79705267
25,CUNDINAMARCA,FOSCA,25281,Municipio,4.316280072,-73.95286784
25,CUNDINAMARCA,FUNZA,25286,Municipio,4.743996711,-74.19865992
25,CUNDINAMARCA,FÚQUENE,25288,Municipio,5.416288902,-73.77059829
25,CUNDINAMARCA,FUSAGASUGÁ,25290,Municipio,4.323534028,-74.38859114
25,CUNDINAMARCA,GACHALÁ,25293,Municipio,4.65495513,-73.51055381
25,CUNDINAMARCA,GACHANCIPÁ,25295,Municipio,5.01001953,-73.87671759
25,CUNDINAMARCA,GACHETÁ,25297,Municipio,4.867551134,-73.61773287
25,CUNDINAMARCA,GAMA,25299,Municipio,4.723573464,-73.60054441
25,CUNDINAMARCA,GIRARDOT,25307,Municipio,4.338154518,-74.81143922
25,CUNDINAMARCA,GRANADA,25312,Municipio,4.523484884,-74.33724619
25,CUNDINAMARCA,GUACHETÁ,25317,Municipio,5.387291542,-73.69328234
25,CUNDINAMARCA,GUADUAS,25320,Municipio,5.173554764,-74.64014651
25,CUNDINAMARCA,GUASCA,25322,Municipio,4.801276832,-73.84643485
25,CUNDINAMARCA,GUATAQUÍ,25324,Municipio,4.516381655,-74.78257788
25,CUNDINAMARCA,GUATAVITA,25326,Municipio,4.91158717,-73.78648564
25,CUNDINAMARCA,GUAYABAL DE SÍQUIMA,25328,Municipio,4.866310254,-74.4767709
25,CUNDINAMARCA,GUAYABETAL,25335,Municipio,4.231875945,-73.83543981
25,CUNDINAMARCA,GUTIÉRREZ,25339,Municipio,4.166089563,-74.0246527
25,CUNDINAMARCA,JERUSALÉN,25368,Municipio,4.571350254,-74.68915854
25,CUNDINAMARCA,JUNÍN,25372,Municipio,4.705170789,-73.69247873
25,CUNDINAMARCA,LA CALERA,25377,Municipio,4.700785443,-73.92939921
25,CUNDINAMARCA,LA MESA,25386,Municipio,4.650773167,-74.47321717
25,CUNDINAMARCA,LA PALMA,25394,Municipio,5.333400646,-74.40807863
25,CUNDINAMARCA,LA PEÑA,25398,Municipio,5.20459882,-74.40786611
25,CUNDINAMARCA,LA VEGA,25402,Municipio,4.978619842,-74.33936061
25,CUNDINAMARCA,LENGUAZAQUE,25407,Municipio,5.303637171,-73.68153228
25,CUNDINAMARCA,MACHETÁ,25426,Municipio,5.040349198,-73.61738241
25,CUNDINAMARCA,MADRID,25430,Municipio,4.75156751,-74.2896305
25,CUNDINAMARCA,MANTA,25436,Municipio,4.976881151,-73.56313741
25,CUNDINAMARCA,MEDINA,25438,Municipio,4.484437919,-73.40598487
25,CUNDINAMARCA,MOSQUERA,25473,Municipio,4.672714223,-74.23573194
25,CUNDINAMARCA,NARIÑO,25483,Municipio,4.407952015,-74.80565317
25,CUNDINAMARCA,NEMOCÓN,25486,Municipio,5.093705358,-73.88380238
25,CUNDINAMARCA,NILO,25488,Municipio,4.294780933,-74.614695
25,CUNDINAMARCA,NIMAIMA,25489,Municipio,5.121445325,-74.39737048
25,CUNDINAMARCA,NOCAIMA,25491,Municipio,5.066110761,-74.38975476
25,CUNDINAMARCA,VENECIA,25506,Municipio,4.063342074,-74.45259796
25,CUNDINAMARCA,PACHO,25513,Municipio,5.168367634,-74.16336544
25,CUNDINAMARCA,PAIME,25518,Municipio,5.387647345,-74.16395696
25,CUNDINAMARCA,PANDI,25524,Municipio,4.180497268,-74.4711213
25,CUNDINAMARCA,PARATEBUENO,25530,Municipio,4.368158959,-73.2416614
25,CUNDINAMARCA,PASCA,25535,Municipio,4.293733611,-74.27396924
25,CUNDINAMARCA,PUERTO SALGAR,25572,Municipio,5.619752748,-74.5801923
25,CUNDINAMARCA,PULÍ,25580,Municipio,4.691336253,-74.68074404
25,CUNDINAMARCA,QUEBRADANEGRA,25592,Municipio,5.09998103,-74.4945107
25,CUNDINAMARCA,QUETAME,25594,Municipio,4.334589044,-73.85264561
25,CUNDINAMARCA,QUIPILE,25596,Municipio,4.726907976,-74.55359926
25,CUNDINAMARCA,APULO,25599,Municipio,4.537711619,-74.59124656
25,CUNDINAMARCA,RICAURTE,25612,Municipio,4.307363489,-74.72943403
25,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,25645,Municipio,4.599741357,-74.34490342
25,CUNDINAMARCA,SAN BERNARDO,25649,Municipio,4.140958464,-74.35397692
